# Baseline: 2026-07-21T18:49:25+02:00 GCC_OPT=-O2 TCC=8c18fcc0
test,function,tcc_O2,gcc_-O2
gcc-compile/20071102-1,g,22,17
gcc-compile/20071105-1,init_full,15,11
gcc-compile/20071107-1,gtk_settings_class_init,255,106
gcc-compile/20071108-1,f,44,32
gcc-compile/20071114-1,ApuCA,38,27
gcc-compile/20071114-1,S9xAPUGetByte,51,34
gcc-compile/20071114-1,S9xAPUSetByte,79,54
gcc-compile/20071117-1,foo,19,16
gcc-compile/20071118-1,foo,26,20
gcc-compile/20071128-1,foo,1,1
gcc-compile/20071203-1,auth_set_username,1,8
gcc-compile/20071207-1,centerln,20,20
gcc-compile/20071214-1,gftp_config_parse_args,40,24
gcc-compile/20080114-1,stuck,14,10
gcc-compile/20080124-1,bar,82,151
gcc-compile/20080419-1,dmi_scan_machine,9,1
gcc-compile/20080613-1,hop_sendmsg,1,1
gcc-compile/20080625-1,findmzROI,16,16
gcc-compile/20080628-1,g,15,10
gcc-compile/20080704-1,_Jv_strtod_r,62,40
gcc-compile/20080721-1,test,10,11
gcc-compile/20080806-1,f1,38,32
gcc-compile/20080812-1,foo,32,29
gcc-compile/20080820-1,do_timer,6,5
gcc-compile/20080903-1,dummy,7,8
gcc-compile/20080910-1,orafce_sql_yylex,84,69
gcc-compile/20080922-1,peephole2_insns,17,14
gcc-compile/20080929-1,main,28,17
gcc-compile/20081101-1,foo,7,5
gcc-compile/20081108-1,h,8,5
gcc-compile/20081108-2,f,3,2
gcc-compile/20081108-3,f,2,2
gcc-compile/20081119-1,f,10,4
gcc-compile/20081203-1,bar,21,9
gcc-compile/20090107-1,f,7,4
gcc-compile/20090114-1,rc_init_pict,90,58
gcc-compile/20090303-1,f,21,22
gcc-compile/20090303-2,f,21,22
gcc-compile/20090328-1,__frame_state_for,1,11
gcc-compile/20090331-1,byte_regex_compile,30,16
gcc-compile/20090401-1,init_clause,27,16
gcc-compile/20090518-1,foo,10,4
gcc-compile/20090519-1,do_handshake,9,6
gcc-compile/20090721-1,f,30,19
gcc-compile/20090907-1,metronomefb_probe,14,39
gcc-compile/20090917-1,build_access_matrix,15,19
gcc-compile/20091215-1,bar,4,2
gcc-compile/20091215-1,foo,6,2
gcc-compile/20100609-1,find_reloads,17,15
gcc-compile/20100907,t,10,7
gcc-compile/20100915-1,jbd2_journal_update_format,4,37
gcc-compile/20100915-1,jbd2_journal_wipe,4,37
gcc-compile/20101216-1,sin_pi,30,16
gcc-compile/20101217-1,main,71,62
gcc-compile/20110126-1,a,13,8
gcc-compile/20110131-1,int321,32,14
gcc-compile/20110401-1,asn1_length_der,42,33
gcc-compile/20110902,g,6,2
gcc-compile/20110906-1,foo,4,4
gcc-compile/20110913-1,__ieee754_expf,72,81
gcc-compile/20120524-1,build_packet,6,6
gcc-compile/20120727-1,f,10,7
gcc-compile/20120727-2,f,13,11
gcc-compile/20120822-1,shr_long,31,15
gcc-compile/20120830-1,keydb_search2,22,18
gcc-compile/20120830-2,ubidi_writeReordered_49,9,5
gcc-compile/20120913-1,dm_lookup_exception,19,11
gcc-compile/20120917-1,tool_seek_cb,32,18
gcc-compile/20120927-1,isc_fsaccess_set,59,27
gcc-compile/20121010-1,read_long,18,21
gcc-compile/20121027-1,f,20,19
gcc-compile/20121107-1,fn1,25,20
